"","id","country","c3","c2","year","gini_reported","palma","ratio_top20bottom20","bottom40","q1","q2","q3","q4","q5","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10","bottom5","top5","resource","resource_detailed","scale","scale_detailed","sharing_unit","reference_unit","areacovr","areacovr_detailed","popcovr","popcovr_detailed","region_un","region_un_sub","region_wb","eu","oecd","incomegroup","mean","median","currency","reference_period","exchangerate","mean_usd","median_usd","gdp_ppp_pc_usd2011","population","revision","quality","quality_score","source","source_detailed","source_comments","survey","link","region_label"
"45",45,"Argentina","ARG","AR",1965,35.3,1.49,6.67,18.1,6.4,11.7,16.3,22.8,42.7,2.3,4.1,5.3,6.4,7.5,8.8,10.5,12.3,15.7,27,NA,NA,1,102,3,301,1,2,3,310,1,101,1,104,2,0,0,2,NA,387192,"Argentine peso",2,1.69566666666417e-11,NA,NA,NA,22283390,"",3,11,4,"Altimir 1986","UNECLAC. Compilation","Encuesta de Consumo de Alimentos","","Americas"
"46",46,"Argentina","ARG","AR",1969,37.3,1.69,7.24,17.3,6.2,11.1,15.7,22.1,44.9,2.3,3.9,5.1,6,7.2,8.5,10.1,12,15.7,29.2,NA,NA,3,301,3,301,1,2,3,310,1,101,1,104,2,0,0,2,NA,12696,"Argentine peso",2,3.5e-11,NA,NA,NA,23605987,"",2,11,4,"Altimir 1986","UNECLAC. Compilation","Encuesta de Presupuestos Familiares","","Americas"
"47",47,"Argentina","ARG","AR",1970,36.1,1.53,6.89,18,6.3,11.7,16.2,22.9,43.4,2.3,4,5.6,6.1,7.6,8.6,10.7,12.2,15.8,27.6,NA,NA,1,102,3,301,1,2,3,310,1,101,1,104,2,0,0,2,NA,9252,"Argentine peso",2,3.79166666566667e-11,NA,NA,NA,23973058,"",3,11,4,"Altimir 1986","UNECLAC. Compilation","Encuesta de Empleo y Desempleo: Suplemento de Ingresos","","Americas"
"48",48,"Argentina","ARG","AR",1970,41.1,1.95,8.39,16.2,5.6,10.6,15.1,21.7,47,1.9,3.7,4.8,5.8,6.9,8.2,9.7,12,15.4,31.6,NA,21.4,2,201,NA,NA,NA,1,3,303,1,101,1,104,2,0,0,2,NA,NA,"",NA,3.79166666566667e-11,NA,NA,NA,23973058,"",3,7,7,"Jain 1975","World Bank. Compilation","","","Americas"
"49",49,"Argentina","ARG","AR",1972,35.3,1.51,6.83,18.3,6.3,12,16.6,22.1,43,2.2,4.1,5.4,6.6,7.7,8.9,10.1,12,15.3,27.7,NA,NA,1,102,3,301,1,2,1,101,1,101,1,104,2,0,0,2,NA,11712,"Argentine peso",2,4.999999999e-11,NA,NA,NA,24782949,"",3,12,4,"Altimir 1986","UNECLAC. Compilation","Encuesta Nacional de Hogares","","Americas"
"50",50,"Argentina","ARG","AR",1972,33.4,1.37,6.06,19.4,6.9,12.5,16.8,22,41.8,2.5,4.4,5.7,6.8,7.9,8.9,10.1,11.9,15.2,26.6,NA,NA,1,102,3,301,1,2,3,301,1,101,1,104,2,0,0,2,NA,12216,"Argentine peso",2,4.999999999e-11,NA,NA,NA,24782949,"",3,12,4,"Altimir 1986","UNECLAC. Compilation","Encuesta Permanente de Hogares (EPH)","","Americas"
"51",51,"Argentina","ARG","AR",1974,34.5,1.38,5.81,19.1,7.2,11.9,16.5,22.7,41.8,2.8,4.4,5.4,6.5,7.6,8.9,10.4,12.3,15.5,26.3,NA,NA,2,201,1,101,1,1,3,316,1,101,1,104,2,0,0,2,NA,NA,"",NA,4.999999999e-11,NA,NA,NA,25644506,"New 2018",1,12,3,"SEDLAC 2018","","Encuesta Permanente de Hogares (EPH)","","Americas"
"52",52,"Argentina","ARG","AR",1974,32.2,1.23,5.15,20.4,7.8,12.6,16.9,22.5,40.2,3.1,4.7,5.8,6.8,7.9,9,10.4,12.1,15.1,25.1,NA,NA,2,201,2,201,1,1,3,316,1,101,1,104,2,0,0,2,NA,NA,"",NA,4.999999999e-11,NA,NA,NA,25644506,"New 2018",1,12,3,"SEDLAC 2018","","Encuesta Permanente de Hogares (EPH)","","Americas"
"53",53,"Argentina","ARG","AR",1974,36,1.55,7.2,17.5,6,11.5,16.4,22.9,43.2,2.2,3.8,5.2,6.3,7.6,8.8,10.4,12.5,16.1,27.1,NA,NA,1,102,3,301,1,2,3,310,1,101,1,104,2,0,0,2,NA,43620,"Argentine peso",2,4.999999999e-11,NA,NA,NA,25644506,"",3,11,4,"Altimir 1986","UNECLAC. Compilation","Encuesta Permanente de Hogares (EPH)","","Americas"
"54",54,"Argentina","ARG","AR",1974,34.4,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8,NA,NA,1,102,3,301,4,1,3,310,2,201,1,104,2,0,0,2,NA,NA,"",NA,4.999999999e-11,NA,NA,NA,25644506,"",3,8,8,"Fishlow et al. 1993","","Encuesta Permanente de Hogares (EPH)","","Americas"
"55",55,"Argentina","ARG","AR",1975,36.1,1.54,7.27,17.3,5.9,11.4,16.5,23.3,42.9,2.2,3.7,5.1,6.3,7.5,9,10.5,12.8,16.2,26.7,NA,NA,1,102,3,301,1,2,3,310,1,101,1,104,2,0,0,2,NA,124212,"Argentine peso",2,3.65749999995e-10,NA,NA,NA,26066975,"",3,11,4,"Altimir 1986","UNECLAC. Compilation","Encuesta Permanente de Hogares (EPH)","","Americas"
"56",56,"Argentina","ARG","AR",1975,34.7,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4,NA,NA,1,102,3,301,4,1,3,310,2,201,1,104,2,0,0,2,NA,NA,"",NA,3.65749999995e-10,NA,NA,NA,26066975,"",3,8,8,"Fishlow et al. 1993","","Encuesta Permanente de Hogares (EPH)","","Americas"
"57",57,"Argentina","ARG","AR",1976,35.2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,NA,NA,1,102,3,301,4,1,3,310,2,201,1,104,2,0,0,2,NA,NA,"",NA,1.39983333333167e-09,NA,NA,NA,26477152,"",3,8,8,"Fishlow et al. 1993","","Encuesta Permanente de Hogares (EPH)","","Americas"
"58",58,"Argentina","ARG","AR",1977,40.3,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,NA,NA,1,102,3,301,4,1,3,310,2,201,1,104,2,0,0,2,NA,NA,"",NA,4.07633333332833e-09,NA,NA,NA,26878565,"",3,8,8,"Fishlow et al. 1993","","Encuesta Permanente de Hogares (EPH)","","Americas"
"59",59,"Argentina","ARG","AR",1978,43.4,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,1,102,3,301,4,1,3,310,2,201,1,104,2,0,0,2,NA,NA,"",NA,7.95749999999583e-09,NA,NA,NA,27277741,"",3,8,8,"Fishlow et al. 1993","","Encuesta Permanente de Hogares (EPH)","","Americas"
"60",60,"Argentina","ARG","AR",1979,41.3,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,NA,NA,1,102,3,301,4,1,3,310,2,201,1,104,2,0,0,2,NA,NA,"",NA,1.31696666666408e-08,NA,NA,NA,27684534,"",3,8,8,"Fishlow et al. 1993","","Encuesta Permanente de Hogares (EPH)","","Americas"
"61",61,"Argentina","ARG","AR",1980,39.3,1.78,7.75,16.4,5.9,10.5,15.4,22.5,45.7,2.2,3.7,4.7,5.8,7,8.4,10,12.5,16.5,29.2,NA,NA,2,201,1,101,1,1,3,316,1,101,1,104,2,0,0,2,8128176,NA,"Local currency unit",1,1.83715833333225e-08,NA,NA,NA,28105888,"New 2018",1,12,3,"SEDLAC 2018","","Encuesta Permanente de Hogares (EPH)","","Americas"
"62",62,"Argentina","ARG","AR",1980,37.6,1.61,6.86,17.6,6.5,11.1,15.5,22.4,44.6,2.6,3.9,5,6.1,7.1,8.4,10,12.4,16.3,28.3,NA,NA,2,201,2,201,1,1,3,316,1,101,1,104,2,0,0,2,NA,NA,"",NA,1.83715833333225e-08,NA,NA,NA,28105888,"New 2018",1,12,3,"SEDLAC 2018","","Encuesta Permanente de Hogares (EPH)","","Americas"
